"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Algérie","012","DZA","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Égypte","818","EGY","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Libye","434","LBY","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Maroc","504","MAR","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Soudan","729","SDN","x","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Tunisie","788","TUN","","","","Developing"
"001","Monde","002","Afrique","015","Afrique septentrionale","","","Sahara occidental","732","ESH","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Territoire britannique de l'océan Indien","086","IOT","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Burundi","108","BDI","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Comores","174","COM","x","","x","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Djibouti","262","DJI","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Érythrée","232","ERI","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Éthiopie","231","ETH","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Terres australes françaises","260","ATF","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Kenya","404","KEN","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Madagascar","450","MDG","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Malawi","454","MWI","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Maurice","480","MUS","","","x","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Mayotte","175","MYT","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Mozambique","508","MOZ","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Réunion","638","REU","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Rwanda","646","RWA","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Seychelles","690","SYC","","","x","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Somalie","706","SOM","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Soudan du Sud","728","SSD","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Ouganda","800","UGA","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","République-Unie de Tanzanie","834","TZA","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Zambie","894","ZMB","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","014","Afrique orientale","Zimbabwe","716","ZWE","","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","017","Afrique centrale","Angola","024","AGO","x","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","017","Afrique centrale","Cameroun","120","CMR","","","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","017","Afrique centrale","République centrafricaine","140","CAF","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","017","Afrique centrale","Tchad","148","TCD","x","x","","Developing"
"001","Monde","002","Afrique","202","Afrique subsaharienne","017","Afrique centrale","Congo","178","COG","","","","Developing"
